tournament,player1,player2,winner,t_round,duration,p1Aces,p1FirstServePercentage,p1FirstServePointsWonPercentage,p1SecondServePointsWon,p1FirstReturnPointsWon,p1SecondReturnPointsWon,p1BreakPointsWon,p1Winners,p1UnforcedErrors,p1NetApproaches,p1PointsWonAtNet,p1AverageFirstServeSpeed,p1AverageSecondServeSpeed,p1ServePointsWon,p1ReturnPointsWon,p2Aces,p2FirstServePercentage,p2FirstServePointsWonPercentage,p2SecondServePointsWon,p2FirstReturnPointsWon,p2SecondReturnPointsWon,p2BreakPointsWon,p2Winners,p2UnforcedErrors,p2NetApproaches,p2PointsWonAtNet,p2AverageFirstServeSpeed,p2AverageSecondServeSpeed,p2ServePointsWon,p2ReturnPointsWon,urlVisited
ATP World Tour Masters 1000 Rome,Roger Federer,Gilles Simon,Roger Federer,R16,63,3,72,75,83,41,83,50,,,,,,,77,54,1,56,58,29,25,,0,,,,,,,45,22,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2013&r=4&p=F324
ATP World Tour Masters 1000 Rome,Roger Federer,Benoit Paire,Roger Federer,S,88,1,59,77,50,24,50,33,,,,,,,66,39,8,44,75,48,22,,16,,,,,,,60,33,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2013&r=6&p=F324
Australian Open Slam,Roger Federer,James Duckworth,Roger Federer,Round of 128,106,11,58,89,58,25,58,24,30,17,18,22,185,153,76,40,13,52,75,43,11,,0,34,38,19,34,176,162,60,24,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704132
Halle,Roger Federer,Cedrik-Marcel Stebe,Roger Federer,R16,68,3,58,75,50,46,50,57,,,,,,,64,50,5,70,53,41,25,,50,,,,,,,50,35,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=500&y=2013&r=4&p=F324
ATP World Tour Masters 1000 Rome,Roger Federer,Jerzy Janowicz,Roger Federer,Q,86,11,75,72,75,34,75,33,,,,,,,72,38,5,60,65,55,28,,33,,,,,,,61,27,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2013&r=5&p=F324
Halle,Roger Federer,Mischa Zverev,Roger Federer,Q,40,4,63,71,83,66,83,60,,,,,,,75,67,0,62,33,31,28,,0,,,,,,,32,24,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=500&y=2013&r=5&p=F324
ATP World Tour Masters 1000 Rome,Roger Federer,Rafael Nadal,Rafael Nadal,F,69,3,56,56,30,29,30,50,,,,,,,45,28,1,73,70,72,43,,83,,,,,,,71,54,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2013&r=7&p=N409
ATP World Tour Masters 1000 Rome,Roger Federer,Jeremy Chardy,Jeremy Chardy,R32,127,9,68,68,50,19,50,42,,,,,,,62,34,2,56,80,45,31,,18,,,,,,,65,37,http://www.atpworldtour.com/Share/Match-Facts-Pop-Up.aspx?t=416&y=2014&r=3&p=CA12
Australian Open Slam,Roger Federer,Jo-Wilfried Tsonga,Roger Federer,Round of 16,112,7,57,88,69,30,69,43,43,21,34,41,184,152,80,38,8,52,70,55,13,,0,29,28,11,25,191,146,63,20,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704404
Australian Open Slam,Roger Federer,Teymuraz Gabashvili,Roger Federer,Round of 32,101,6,62,87,57,40,57,36,35,18,11,20,180,148,75,47,3,69,60,36,13,,0,27,33,7,19,178,148,53,25,http://www.tennisinsight.com/match_stats_popup.php?matchID=183704308
