p2ServePointsWon,p2ReturnPointsWon,player2,odds,winner,date,tournament,t_round,player1,outlier,id,cluster,spw,spw_count
63,36,Grigor Dimitrov,$1.072,Grigor Dimitrov,May 5 2013,ATP World Tour Masters 1000 Madrid,R32,Novak Djokovic,FALSE,79,cluster_4,1.26,25
62,29,Kei Nishikori,$1.265,Kei Nishikori,May 5 2013,ATP World Tour Masters 1000 Madrid,R16,Roger Federer,FALSE,53,cluster_0,1.78,18
55,52,Rafael Nadal,$7.855,Rafael Nadal,May 5 2013,ATP World Tour Masters 1000 Madrid,Q,David Ferrer,FALSE,76,cluster_4,0.58,12
64,28,Tommy Haas,$1.404,David Ferrer,May 5 2013,ATP World Tour Masters 1000 Madrid,R16,David Ferrer,FALSE,77,cluster_2,2.6,19
71,36,David Ferrer,$3.284,David Ferrer,May 5 2013,ATP World Tour Masters 1000 Madrid,R16,Tommy Haas,FALSE,64,cluster_4,0.96,22
52,37,Tommy Robredo,$1.602,Tommy Haas,May 5 2013,ATP World Tour Masters 1000 Madrid,R32,Tommy Haas,FALSE,65,cluster_2,0.31,20
50,25,Andreas Seppi,$1.594,Tommy Haas,May 5 2013,ATP World Tour Masters 1000 Madrid,R64,Tommy Haas,FALSE,66,cluster_3,1.76,17
59,15,Stan Wawrinka,$1.158,Rafael Nadal,May 5 2013,ATP World Tour Masters 1000 Madrid,F,Rafael Nadal,FALSE,82,cluster_0,4.12,27
47,44,David Ferrer,$1.124,Rafael Nadal,May 5 2013,ATP World Tour Masters 1000 Madrid,Q,Rafael Nadal,FALSE,84,cluster_1,1.82,16
50,29,Mikhail Youzhny,$1.021,Rafael Nadal,May 5 2013,ATP World Tour Masters 1000 Madrid,R16,Rafael Nadal,FALSE,86,cluster_4,5.16,21
70,37,Roger Federer,$4.415,Kei Nishikori,May 5 2013,ATP World Tour Masters 1000 Madrid,R16,Kei Nishikori,FALSE,46,cluster_0,0.07,9
65,34,Fernando Verdasco,$1.388,Fernando Verdasco,May 5 2013,ATP World Tour Masters 1000 Madrid,R32,Milos Raonic,FALSE,30,cluster_0,0.92,12
62,47,Tommy Haas,$2.547,Tommy Haas,May 5 2013,ATP World Tour Masters 1000 Madrid,R32,Tommy Robredo,FALSE,52,cluster_3,-0.64,8
75,50,Tommy Haas,$2.566,Tommy Haas,May 5 2013,ATP World Tour Masters 1000 Madrid,R64,Andreas Seppi,FALSE,58,cluster_3,-1.34,12
64,43,Stan Wawrinka,$2.428,Stan Wawrinka,May 5 2013,ATP World Tour Masters 1000 Madrid,Q,Jo-Wilfried Tsonga,FALSE,26,cluster_0,-0.12,5
