player1,player2,winner,date,tournament,t_round,p1odds,p2odds,p1spw,p2spw,p1_spwcount,p2_spwcount
Jo-Wilfried Tsonga,Fernando Verdasco,Jo-Wilfried Tsonga,May 5 2013,ATP World Tour Masters 1000 Madrid,R16,$1.389,$3.364,0.53,-0.54,10,21
Fernando Verdasco,Jo-Wilfried Tsonga,Jo-Wilfried Tsonga,May 5 2013,ATP World Tour Masters 1000 Madrid,R16,$3.364,$1.389,-0.54,0.53,21,10
Fernando Verdasco,Milos Raonic,Fernando Verdasco,May 5 2013,ATP World Tour Masters 1000 Madrid,R32,$3.375,$1.388,-0.28,0.92,18,12
Stan Wawrinka,Tomas Berdych,Stan Wawrinka,May 5 2013,ATP World Tour Masters 1000 Madrid,S,$1.995,$1.939,-0.69,1.07,13,24
Stan Wawrinka,Jo-Wilfried Tsonga,Stan Wawrinka,May 5 2013,ATP World Tour Masters 1000 Madrid,Q,$1.653,$2.428,2.32,-0.12,23,5
Stan Wawrinka,Grigor Dimitrov,Stan Wawrinka,May 5 2013,ATP World Tour Masters 1000 Madrid,R16,$1.503,$2.842,1.94,-0.22,23,13
Mikhail Youzhny,Rafael Nadal,Rafael Nadal,May 5 2013,ATP World Tour Masters 1000 Madrid,R16,$26.377,$1.021,-1.55,5.16,11,21
Mikhail Youzhny,Nicolas Almagro,Mikhail Youzhny,May 5 2013,ATP World Tour Masters 1000 Madrid,R32,$4.779,$1.238,-0.13,0.64,19,7
Nicolas Almagro,Mikhail Youzhny,Mikhail Youzhny,May 12 2013,ATP World Tour Masters 1000 Madrid,R32,$1.238,$4.779,0.64,-0.13,7,19
Kevin Anderson,Marin Cilic,Kevin Anderson,May 12 2013,ATP World Tour Masters 1000 Rome,R32,$2.757,$1.528,-0.39,-0.38,9,16
Kevin Anderson,Tomas Berdych,Tomas Berdych,May 12 2013,ATP World Tour Masters 1000 Madrid,R16,$3.510,$1.366,-0.18,1.41,9,23
Jeremy Chardy,Kei Nishikori,Jeremy Chardy,May 12 2013,ATP World Tour Masters 1000 Rome,R32,$3.003,$1.462,1.7,-0.59,12,10
Marin Cilic,Kevin Anderson,Kevin Anderson,May 12 2013,ATP World Tour Masters 1000 Rome,R32,$1.528,$2.757,-0.38,-0.39,16,9
Grigor Dimitrov,Richard Gasquet,Richard Gasquet,May 12 2013,ATP World Tour Masters 1000 Rome,R32,$2.086,$1.860,-0.1,0.63,12,15
Novak Djokovic,Tomas Berdych,Tomas Berdych,May 12 2013,ATP World Tour Masters 1000 Rome,Q,$1.188,$5.701,1.24,-0.7,24,9
David Ferrer,Rafael Nadal,Rafael Nadal,May 12 2013,ATP World Tour Masters 1000 Rome,Q,$6.520,$1.158,0.61,1.54,9,14
David Ferrer,Fernando Verdasco,David Ferrer,May 12 2013,ATP World Tour Masters 1000 Rome,R32,$1.192,$5.624,0.43,0.32,26,10
Richard Gasquet,Grigor Dimitrov,Richard Gasquet,May 12 2013,ATP World Tour Masters 1000 Rome,R32,$1.860,$2.086,0.63,-0.1,15,12
Ernests Gulbis,Rafael Nadal,Rafael Nadal,May 12 2013,ATP World Tour Masters 1000 Rome,R16,$11.748,$1.073,-0.45,1.52,6,20
Tommy Haas,Mikhail Youzhny,Mikhail Youzhny,May 12 2013,ATP World Tour Masters 1000 Rome,R64,$1.444,$3.084,-1.14,1.32,17,20
